iter	Passed	Remaining
1383	901696	401333
1384	902532	400763
1385	903051	400052
1386	903594	399353
1387	904355	398750
1388	904871	398039
1389	905436	397349
1390	906116	396711
1391	906899	396117
1392	907501	395443
1393	908114	394775
1394	909041	394243
1395	909874	393670
1396	910573	393039
1397	911126	392345
1398	911649	391637
1399	912254	390966
1400	912731	390239
1401	913275	389542
1402	913928	388892
1403	914508	388210
1404	915006	387493
1405	915590	386814
1406	916348	386207
1407	917119	385606
1408	917817	384975
1409	918300	384253
1410	918956	383603
1411	919468	382894
1412	919958	382176
1413	920604	381523
1414	921114	380814
1415	921710	380140
1416	922377	379496
1417	923174	378905
1418	924067	378353
1419	924661	377678
1420	925239	376997
1421	925845	376328
1422	926542	375695
1423	927360	375112
1424	927942	374433
1425	928621	373793
1426	929279	373144
1427	930117	372568
1428	930821	371937
1429	931384	371251
1430	931775	370496
1431	932714	369959
1432	933297	369281
1433	933899	368610
1434	934628	367989
1435	935297	367345
1436	936112	366757
1437	936735	366095
1438	937362	365434
1439	937846	364718
1440	938360	364013
1441	939207	363438
1442	939649	362705
1443	940163	362001
1444	940822	361354
1445	941319	360643
1446	941903	359967
1447	942667	359359
1448	943126	358635
1449	943820	358000
1450	944394	357320
1451	945181	356721
1452	945837	356072
1453	946620	355470
1454	947174	354783
1455	947997	354196
1456	948669	353553
1457	949231	352869
1458	950074	352289
1459	950912	351707
1460	951466	351020
1461	952218	350405
1462	952897	349764
1463	953489	349091
1464	954141	348440
1465	954793	347789
1466	955376	347113
1467	955949	346434
1468	956435	345723
1469	957090	345073
1470	957634	344383
1471	958093	343663
1472	958710	343000
1473	959288	342324
1474	959942	341674
1475	960388	340951
1476	960975	340277
1477	961708	339656
1478	962336	338997
1479	963110	338390
1480	963642	337697
1481	964210	337018
1482	964792	336343
1483	965548	335729
1484	966274	335105
1485	966957	334465
1486	967709	333850
1487	968349	333195
1488	969221	332620
1489	970034	332025
1490	970622	331352
1491	971345	330726
1492	971916	330048
1493	972674	329433
1494	973361	328794
1495	974183	328200
1496	974737	327517
1497	975281	326830
1498	975818	326140
1499	976499	325499
1500	977054	324816
1501	977955	324249
1502	978647	323611
1503	979241	322941
1504	979897	322291
1505	980436	321603
1506	980973	320915
1507	981477	320216
1508	982135	319568
1509	982670	318879
1510	983337	318234
1511	983977	317579
1512	984737	316964
1513	985375	316309
1514	986130	315692
1515	986762	315034
1516	987350	314363
1517	987869	313671
1518	988576	313038
1519	989283	312405
1520	989804	311713
1521	990360	311033
1522	990923	310354
1523	991694	309741
1524	992369	309098
1525	992898	308410
1526	993361	307701
1527	994074	307070
1528	994581	306375
1529	995113	305688
1530	995727	305026
1531	996476	304406
1532	997182	303773
1533	997803	303113
1534	998300	302416
1535	998932	301760
1536	999638	301127
1537	1000301	300480
1538	1000972	299836
1539	1001516	299154
1540	1002211	298517
1541	1002820	297854
1542	1003387	297179
1543	1004139	296559
1544	1004805	295913
1545	1005341	295229
1546	1006041	294593
1547	1006672	293938
1548	1006922	293171
1549	1007457	292487
1550	1007994	291805
1551	1008617	291147
1552	1009224	290484
1553	1009965	289861
1554	1010631	289216
1555	1011248	288556
1556	1011979	287929
1557	1012669	287291
1558	1013207	286609
1559	1013914	285975
1560	1014721	285370
1561	1015392	284725
1562	1016014	284068
1563	1016767	283446
1564	1017481	282814
1565	1018246	282196
1566	1019045	281586
1567	1019683	280933
1568	1020349	280287
1569	1020891	279607
1570	1021351	278904
1571	1021887	278223
1572	1022603	277591
1573	1023197	276926
1574	1023825	276270
1575	1024567	275645
1576	1025219	274995
1577	1025682	274295
1578	1026437	273673
1579	1027153	273040
1580	1027837	272399
1581	1028435	271735
1582	1028946	271049
1583	1029541	270384
1584	1030251	269750
1585	1030839	269084
1586	1031445	268422
1587	1031981	267743
1588	1032873	267156
1589	1033397	266473
1590	1034027	265818
1591	1034694	265172
1592	1035436	264546
1593	1035982	263869
1594	1036640	263222
1595	1037289	262571
1596	1037999	261937
1597	1038612	261277
1598	1039236	260621
1599	1039873	259968
1600	1040636	259346
1601	1041160	258665
1602	1041781	258008
1603	1042433	257359
1604	1043012	256691
1605	1043598	256026
1606	1044443	255424
